time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-14 00:00:00+00:00,247,124,0,0
2022-08-15 00:00:00+00:00,1190,382,85,4
2022-08-16 00:00:00+00:00,92,92,50,11
2022-08-17 00:00:00+00:00,693,539,23,3
2022-08-18 00:00:00+00:00,105,100,15,2
2022-08-19 00:00:00+00:00,685,311,40,2
2022-08-20 00:00:00+00:00,268,260,18,4
2022-08-21 00:00:00+00:00,99,98,6,1
2022-08-22 00:00:00+00:00,713,659,53,6
2022-08-23 00:00:00+00:00,1643,583,131,11
2022-08-24 00:00:00+00:00,191,123,65,5
2022-08-25 00:00:00+00:00,1925,754,96,11
2022-08-26 00:00:00+00:00,273,266,25,4
2022-08-27 00:00:00+00:00,15,12,38,7
2022-08-28 00:00:00+00:00,351,214,50,7
2022-08-29 00:00:00+00:00,352,213,11,4
2022-08-30 00:00:00+00:00,3,3,2,2
2022-08-31 00:00:00+00:00,99,98,11,3
2022-09-01 00:00:00+00:00,12,12,1,1
2022-09-02 00:00:00+00:00,599,556,14,6
2022-09-03 00:00:00+00:00,604,253,26,7
2022-09-04 00:00:00+00:00,337,193,22,5
2022-09-05 00:00:00+00:00,343,216,48,4
2022-09-06 00:00:00+00:00,8,8,20,4
2022-09-07 00:00:00+00:00,157,154,10,3
2022-09-08 00:00:00+00:00,379,194,35,6
2022-09-09 00:00:00+00:00,430,234,11,5
2022-09-10 00:00:00+00:00,336,202,33,6
2022-09-11 00:00:00+00:00,91,91,17,3
2022-09-12 00:00:00+00:00,93,92,13,2
2022-09-13 00:00:00+00:00,6,6,3,2
2022-09-14 00:00:00+00:00,5,5,14,3
2022-09-15 00:00:00+00:00,94,94,9,3
2022-09-16 00:00:00+00:00,3,3,0,0
2022-09-17 00:00:00+00:00,262,132,15,4
2022-09-18 00:00:00+00:00,99,97,7,1
2022-09-19 00:00:00+00:00,100,97,14,3
2022-09-20 00:00:00+00:00,9,9,28,5
2022-09-21 00:00:00+00:00,6,6,8,2
2022-09-22 00:00:00+00:00,4,4,35,8
2022-09-23 00:00:00+00:00,10,8,48,2
2022-09-24 00:00:00+00:00,4,4,8,2
2022-09-25 00:00:00+00:00,13,10,8,3
2022-09-26 00:00:00+00:00,264,128,19,3
2022-09-27 00:00:00+00:00,722,446,18,3
2022-09-28 00:00:00+00:00,261,128,23,5
2022-09-29 00:00:00+00:00,529,238,36,3
2022-09-30 00:00:00+00:00,96,95,47,3
2022-10-01 00:00:00+00:00,268,251,74,7
2022-10-02 00:00:00+00:00,700,386,63,4
2022-10-03 00:00:00+00:00,445,315,31,5
2022-10-04 00:00:00+00:00,1743,941,58,6
2022-10-05 00:00:00+00:00,3572,1459,195,6
2022-10-06 00:00:00+00:00,270,135,63,8
2022-10-07 00:00:00+00:00,166,160,29,3
2022-10-08 00:00:00+00:00,116,110,3,1
2022-10-09 00:00:00+00:00,2,2,6,2
2022-10-10 00:00:00+00:00,1543,677,44,5
2022-10-11 00:00:00+00:00,5,5,24,4
2022-10-12 00:00:00+00:00,1783,922,56,6
2022-10-13 00:00:00+00:00,2488,975,105,18
2022-10-14 00:00:00+00:00,1336,573,83,16
2022-10-15 00:00:00+00:00,1083,424,67,10
2022-10-16 00:00:00+00:00,1176,562,58,10
2022-10-17 00:00:00+00:00,307,288,33,5
2022-10-18 00:00:00+00:00,510,334,35,8
2022-10-19 00:00:00+00:00,1653,629,39,9
2022-10-20 00:00:00+00:00,648,334,52,10
2022-10-21 00:00:00+00:00,68,68,15,5
2022-10-22 00:00:00+00:00,43,29,7,3
2022-10-23 00:00:00+00:00,66,63,27,4
2022-10-24 00:00:00+00:00,630,433,21,5
2022-10-25 00:00:00+00:00,305,290,14,7
2022-10-26 00:00:00+00:00,66,65,76,4
2022-10-27 00:00:00+00:00,643,414,34,7
2022-10-28 00:00:00+00:00,178,177,12,4
2022-10-29 00:00:00+00:00,6,6,2,1
2022-10-30 00:00:00+00:00,891,386,37,8
2022-10-31 00:00:00+00:00,1520,795,50,7
2022-11-01 00:00:00+00:00,185,182,20,3
2022-11-02 00:00:00+00:00,419,268,26,5
2022-11-03 00:00:00+00:00,63,63,8,4
2022-11-04 00:00:00+00:00,1664,761,26,8
2022-11-05 00:00:00+00:00,2040,748,22,7
2022-11-06 00:00:00+00:00,3813,1274,88,8
2022-11-07 00:00:00+00:00,5713,2076,311,11
2022-11-08 00:00:00+00:00,1524,707,64,9
2022-11-09 00:00:00+00:00,369,214,19,7
2022-11-10 00:00:00+00:00,3024,1297,80,6
2022-11-11 00:00:00+00:00,740,303,27,5
2022-11-12 00:00:00+00:00,3302,1308,51,9
2022-11-13 00:00:00+00:00,1778,710,16,6
2022-11-14 00:00:00+00:00,3313,1320,335,9
2022-11-15 00:00:00+00:00,2968,1650,152,10
2022-11-16 00:00:00+00:00,1691,870,81,8
2022-11-17 00:00:00+00:00,376,218,101,6
2022-11-18 00:00:00+00:00,669,358,17,6
2022-11-19 00:00:00+00:00,3021,1505,28,8
2022-11-20 00:00:00+00:00,2917,1312,33,8
2022-11-21 00:00:00+00:00,1276,640,23,4
2022-11-22 00:00:00+00:00,76,75,28,11
2022-11-23 00:00:00+00:00,913,590,33,7
2022-11-24 00:00:00+00:00,766,435,6,4
2022-11-25 00:00:00+00:00,391,228,8,4
2022-11-26 00:00:00+00:00,1494,1091,49,10
2022-11-27 00:00:00+00:00,1343,1271,13,6
2022-11-28 00:00:00+00:00,599,574,9,3
2022-11-29 00:00:00+00:00,1217,724,53,4
2022-11-30 00:00:00+00:00,2424,1765,28,6
2022-12-01 00:00:00+00:00,1829,1192,50,7
2022-12-02 00:00:00+00:00,1112,807,32,5
2022-12-03 00:00:00+00:00,132,129,19,8
2022-12-04 00:00:00+00:00,2502,1397,63,8
2022-12-05 00:00:00+00:00,3359,2334,48,6
2022-12-06 00:00:00+00:00,1563,1325,24,6
2022-12-07 00:00:00+00:00,1533,1433,19,6
2022-12-08 00:00:00+00:00,3209,2192,109,7
2022-12-09 00:00:00+00:00,128,128,40,7
2022-12-10 00:00:00+00:00,10,9,11,6
2022-12-11 00:00:00+00:00,1088,541,45,3
2022-12-12 00:00:00+00:00,248,232,34,6
2022-12-13 00:00:00+00:00,2006,1206,24,4
2022-12-14 00:00:00+00:00,2241,1136,95,11
2022-12-15 00:00:00+00:00,78,72,68,9
2022-12-16 00:00:00+00:00,1775,981,64,2
2022-12-17 00:00:00+00:00,2595,1158,100,6
2022-12-18 00:00:00+00:00,1758,977,84,6
2022-12-19 00:00:00+00:00,3509,1447,57,8
2022-12-20 00:00:00+00:00,2076,986,6,3
2022-12-21 00:00:00+00:00,1094,513,97,7
2022-12-22 00:00:00+00:00,675,263,21,7
2022-12-23 00:00:00+00:00,411,197,29,8
2022-12-24 00:00:00+00:00,67,55,9,3
2022-12-25 00:00:00+00:00,913,217,17,3
2022-12-26 00:00:00+00:00,1194,398,15,3
2022-12-27 00:00:00+00:00,2347,494,51,6
2022-12-28 00:00:00+00:00,3421,557,52,3
2022-12-29 00:00:00+00:00,2199,463,31,13
2022-12-30 00:00:00+00:00,511,268,70,8
2022-12-31 00:00:00+00:00,303,190,9,1
2023-01-01 00:00:00+00:00,126,102,15,1
2023-01-02 00:00:00+00:00,1227,410,115,8
2023-01-03 00:00:00+00:00,2873,629,91,6
2023-01-04 00:00:00+00:00,2322,539,110,7
2023-01-05 00:00:00+00:00,203,170,53,7
2023-01-06 00:00:00+00:00,3688,683,75,6
2023-01-07 00:00:00+00:00,194,146,6,2
2023-01-08 00:00:00+00:00,786,260,75,7
2023-01-09 00:00:00+00:00,407,222,65,8
2023-01-10 00:00:00+00:00,313,267,18,7
2023-01-11 00:00:00+00:00,254,228,7,3
2023-01-12 00:00:00+00:00,317,266,12,3
2023-01-13 00:00:00+00:00,1293,486,29,3
2023-01-14 00:00:00+00:00,497,248,4,2
2023-01-15 00:00:00+00:00,644,249,82,10
2023-01-16 00:00:00+00:00,4452,661,196,5
2023-01-17 00:00:00+00:00,343,153,49,7
2023-01-18 00:00:00+00:00,436,339,11,3
2023-01-19 00:00:00+00:00,71,66,82,6
2023-01-20 00:00:00+00:00,683,460,46,5
2023-01-21 00:00:00+00:00,255,178,45,2
2023-01-22 00:00:00+00:00,76,70,87,7
2023-01-23 00:00:00+00:00,1338,445,65,9
2023-01-24 00:00:00+00:00,656,367,32,6
2023-01-25 00:00:00+00:00,191,174,6,3
2023-01-26 00:00:00+00:00,12,11,7,2
2023-01-27 00:00:00+00:00,11,9,8,1
2023-01-28 00:00:00+00:00,377,242,23,4
2023-01-29 00:00:00+00:00,674,210,60,6
2023-01-30 00:00:00+00:00,866,376,75,7
2023-01-31 00:00:00+00:00,267,214,25,8
2023-02-01 00:00:00+00:00,1323,560,114,10
2023-02-02 00:00:00+00:00,2955,801,73,9
2023-02-03 00:00:00+00:00,3379,874,86,9
2023-02-04 00:00:00+00:00,405,177,32,7
2023-02-05 00:00:00+00:00,679,234,91,13
2023-02-06 00:00:00+00:00,128,122,54,7
2023-02-07 00:00:00+00:00,373,315,18,7
2023-02-08 00:00:00+00:00,72,71,21,7
2023-02-09 00:00:00+00:00,20,16,36,9
2023-02-10 00:00:00+00:00,1678,541,48,10
2023-02-11 00:00:00+00:00,13,11,44,8
2023-02-12 00:00:00+00:00,684,238,56,5
2023-02-13 00:00:00+00:00,671,305,27,5
2023-02-14 00:00:00+00:00,14,13,6,2
2023-02-15 00:00:00+00:00,11,10,79,8
2023-02-16 00:00:00+00:00,1174,522,35,7
2023-02-17 00:00:00+00:00,418,320,33,7
2023-02-18 00:00:00+00:00,18,16,22,6
2023-02-19 00:00:00+00:00,21,16,30,4
2023-02-20 00:00:00+00:00,505,393,33,4
2023-02-21 00:00:00+00:00,80,80,45,7
2023-02-22 00:00:00+00:00,680,305,59,7
2023-02-23 00:00:00+00:00,1158,569,22,5
2023-02-24 00:00:00+00:00,177,154,35,8
2023-02-25 00:00:00+00:00,13,12,16,8
2023-02-26 00:00:00+00:00,140,112,15,9
2023-02-27 00:00:00+00:00,13,13,34,9
2023-02-28 00:00:00+00:00,649,292,42,10
2023-03-01 00:00:00+00:00,1957,725,36,6
2023-03-02 00:00:00+00:00,238,206,20,7
2023-03-03 00:00:00+00:00,71,68,28,4
2023-03-04 00:00:00+00:00,144,123,13,4
2023-03-05 00:00:00+00:00,16,16,30,8
2023-03-06 00:00:00+00:00,20,18,23,3
2023-03-07 00:00:00+00:00,27,19,36,5
2023-03-08 00:00:00+00:00,14,14,87,4
2023-03-09 00:00:00+00:00,136,130,6,1
2023-03-10 00:00:00+00:00,509,447,40,4
2023-03-11 00:00:00+00:00,508,385,16,2
2023-03-12 00:00:00+00:00,849,282,24,5
2023-03-13 00:00:00+00:00,735,495,36,7
2023-03-14 00:00:00+00:00,150,147,17,8
2023-03-15 00:00:00+00:00,21,19,52,7
2023-03-16 00:00:00+00:00,926,518,76,9
2023-03-17 00:00:00+00:00,808,532,83,8
2023-03-18 00:00:00+00:00,174,168,61,2
2023-03-19 00:00:00+00:00,150,140,21,3
2023-03-20 00:00:00+00:00,671,436,36,4
2023-03-21 00:00:00+00:00,16,13,32,7
2023-03-22 00:00:00+00:00,1716,839,99,7
2023-03-23 00:00:00+00:00,220,207,19,6
2023-03-24 00:00:00+00:00,224,202,70,15
2023-03-25 00:00:00+00:00,155,143,29,8
2023-03-26 00:00:00+00:00,805,387,56,5
2023-03-27 00:00:00+00:00,214,198,15,5
2023-03-28 00:00:00+00:00,526,349,22,8
