time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-14 00:00:00+00:00,5,3,103,30
2022-08-15 00:00:00+00:00,545,456,234,63
2022-08-16 00:00:00+00:00,181,78,197,72
2022-08-17 00:00:00+00:00,101,58,261,79
2022-08-18 00:00:00+00:00,62,40,240,66
2022-08-19 00:00:00+00:00,277,91,171,62
2022-08-20 00:00:00+00:00,173,78,249,77
2022-08-21 00:00:00+00:00,44,34,300,78
2022-08-22 00:00:00+00:00,4,3,242,88
2022-08-23 00:00:00+00:00,20,11,350,88
2022-08-24 00:00:00+00:00,14,9,550,106
2022-08-25 00:00:00+00:00,23,13,604,83
2022-08-26 00:00:00+00:00,14,4,449,77
2022-08-27 00:00:00+00:00,15,11,574,97
2022-08-28 00:00:00+00:00,74,42,371,80
2022-08-29 00:00:00+00:00,33,23,154,35
